symbol,observed_days,observation_rate
PYR,227,0.12431544359255203
PYTH,382,0.20920043811610076
PYUSD,303,0.16593647316538881
PZM,74,0.040525739320920046
QKC,48,0.02628696604600219
RAD,18,0.009857612267250822
RAY,651,0.3565169769989047
RBN,336,0.18400876232201532
RDD,46,0.025191675794085433
RDNT,2,0.001095290251916758
REEF,390,0.21358159912376778
REN,879,0.4813800657174151
RENBTC,588,0.32201533406352684
RENDER,165,0.09036144578313253
REP,674,0.36911281489594744
REPV2,1,0.000547645125958379
REQ,381,0.2086527929901424
REV,642,0.3515881708652793
REW,3,0.0016429353778751369
RFR,2,0.001095290251916758
RGT,39,0.02135815991237678
RIF,321,0.17579408543263966
RLC,565,0.3094194961664841
RLY,212,0.11610076670317634
RNDR,900,0.4928806133625411
RON,383,0.20974808324205915
ROSE,1301,0.712486308871851
RPL,661,0.3619934282584885
RSR,1256,0.687842278203724
RSS3,29,0.01588170865279299
SAFE,213,0.11664841182913473
SAGA,70,0.038335158817086525
SATS,30,0.01642935377875137
SCR,7,0.0038335158817086527
SCRT,602,0.32968236582694416
SEELE,7,0.0038335158817086527
SEI,504,0.276013143483023
SFI,32,0.017524644030668127
SFP,714,0.3910186199342826
SFUND,34,0.018619934282584884
SHIB,1333,0.7300109529025192
SHR,9,0.004928806133625411
SKL,1248,0.683461117196057
SLP,286,0.1566265060240964
SNM,9,0.004928806133625411
SNT,695,0.38061336254107336
SOLO,60,0.03285870755750274
SOS,32,0.017524644030668127
SOUL,59,0.03231106243154436
SPELL,216,0.11829134720700986
SPND,11,0.006024096385542169
SPX,20,0.01095290251916758
SRM,681,0.3729463307776561
SSV,721,0.3948521358159912
STAKE,14,0.007667031763417305
STEEM,281,0.1538882803943045
STETH,3,0.0016429353778751369
STG,209,0.1144578313253012
STMX,291,0.1593647316538883
STO,16,0.008762322015334063
STORJ,1122,0.6144578313253012
STP,33,0.018072289156626505
STPT,63,0.03450164293537788
STRAX,371,0.2031763417305586
STRK,387,0.21193866374589265
SUI,608,0.3329682365826944
SUN,107,0.05859802847754655
SUPER,492,0.26944140197152244
SURE,2,0.001095290251916758
SUSHI,1314,0.71960569550931
SWAP,94,0.05147864184008762
SXP,1181,0.6467688937568455
SYN,112,0.06133625410733844
SYS,456,0.2497261774370208
T,698,0.3822562979189485
TAGZ5,87,0.04764512595837897
TAO,311,0.17031763417305587
TEL,510,0.2792990142387733
THR,111,0.06078860898138007
THX,72,0.03943044906900329
TIA,427,0.23384446878422782
TIME,21,0.011500547645125958
TKO,5,0.002738225629791895
TMTG,140,0.07667031763417305
TNC,126,0.06900328587075576
TOMI,96,0.05257393209200438
TOMO,364,0.19934282584884994
TON,831,0.4550930996714129
TRAC,632,0.34611171960569553
TRB,176,0.0963855421686747
TRIBE,212,0.11610076670317634
TRU,1,0.000547645125958379
TSHP,3,0.0016429353778751369
TT,9,0.004928806133625411
TURBO,48,0.02628696604600219
TWT,1036,0.5673603504928806
UBT,335,0.18346111719605696
UMA,1266,0.6933187294633077
UNFI,12,0.0065717415115005475
UNIBOT,36,0.019715224534501644
UOS,393,0.21522453450164294
UQC,135,0.07393209200438117
USDD,966,0.5290251916757941
USDE,30,0.01642935377875137
